# GISP2 Sodium (Na+)
# meters,thousand years before present,PPB
Depth,Age,Sodium
433.53,1.7708,3.632
433.99,1.7736,3.357
434.45,1.7764,5.701
434.91,1.7792,3.379
435.37,1.7816,5.678
435.83,1.7837,9.564
436.29,1.786,6.989
436.76,1.7884,7.702
437.22,1.7905,3.196
437.67,1.7924,2.851
438.13,1.7946,3.402
438.59,1.797,6.391
439.05,1.7992,8.69
439.51,1.8017,3.104
439.97,1.8043,5.587
440.43,1.8066,3.678
440.89,1.8088,2.46
441.35,1.8109,3.104
441.79,1.8129,3.793
442.245,1.815,8.529
442.72,1.8174,5.587
443.18,1.8196,5.311
443.64,1.8216,5.403
444.1,1.8235,8.184
444.56,1.8256,7.541
445.02,1.8279,12.093
445.48,1.8302,5.655
445.935,1.8326,6.552
446.39,1.8351,3.977
446.85,1.8375,4.782
447.31,1.8396,2.851
447.77,1.8418,2.851
448.23,1.8443,5.035
448.685,1.8466,3.839
449.14,1.849,3.678
449.6,1.8513,3.425
450.06,1.8534,7.495
450.515,1.8556,3.839
450.97,1.8578,3.425
451.43,1.8605,4.782
451.89,1.8633,4.23
452.345,1.8657,3.288
452.785,1.8677,3.77
453.245,1.8696,5.495
453.72,1.8718,5.61
454.175,1.874,4.299
454.63,1.8763,6.23
455.09,1.8786,5.701
455.55,1.8808,2.989
456.005,1.8829,4.897
456.46,1.885,3.357
456.92,1.8869,5.104
457.375,1.8884,3.563
457.8,1.8901,5.334
458.29,1.8927,5.265
458.76,1.8951,3.563
459.215,1.8975,4.667
459.655,1.8998,4.276
460.045,1.9017,4.552
462.055,1.9104,3.173
462.39,1.9119,2.644
462.85,1.9138,3.471
463.305,1.9159,4.023
463.765,1.9183,2.92
464.22,1.9207,6
464.67,1.923,4.138
465.125,1.9252,3.701
465.58,1.9273,6.46
466.04,1.9295,5.127
466.495,1.9317,2.92
466.95,1.934,4.897
467.405,1.9361,2.782
467.86,1.9383,2.782
468.315,1.9405,4.253
468.735,1.9427,4
469.345,1.9461,2.667
469.68,1.9474,5.081
470.135,1.9492,6.069
470.585,1.9514,4.92
471.04,1.9537,8.736
471.495,1.9559,5.104
471.95,1.9581,2.575
472.405,1.9602,2.299
472.815,1.962,6.046
473.27,1.9643,5.15
473.77,1.967,4.345
474.225,1.9692,5.15
474.675,1.9713,3.035
475.13,1.9732,2.874
475.605,1.9756,6.529
478.5,1.99,2.598
